instid;year;p;n;jf;jfxp
40;2010;24;71;0.989;70.219
41;2010;40;72;1.086;78.192
41;2011;42;70;1.186;83.020
41;2012;57;114;1.127;128.478
41;2013;47;98;1.057;103.586
41;2014;62;124;1.239;153.636
46;2010;40;54;0.958;51.732
46;2011;49;70;0.974;68.180
46;2012;39;58;0.885;51.330
46;2013;50;90;1.023;92.070
46;2014;56;83;0.910;75.530
52;2010;4;5;0.921;4.605
52;2011;6;7;0.758;5.306
52;2012;11;20;0.563;11.260
52;2013;18;24;0.860;20.640
52;2014;14;21;0.715;15.015
55;2010;93;165;1.429;235.785
55;2011;90;187;1.397;261.239
55;2012;93;172;1.278;219.816
55;2013;104;204;1.461;298.044
55;2014;110;222;1.386;307.692
182;2010;59;121;1.342;162.382
182;2011;65;138;1.340;184.920
182;2012;71;148;1.245;184.260
182;2013;75;160;1.191;190.560
182;2014;76;165;1.182;195.030
366;2010;20;24;0.817;19.608
366;2011;20;24;0.950;22.800
366;2012;20;30;0.632;18.960
366;2013;24;40;0.835;33.400
366;2014;28;35;0.782;27.370
367;2010;5;5;0.741;3.705
367;2011;3;3;0.376;1.128
367;2012;3;3;0.491;1.473
367;2013;1;2;0.364;0.728
367;2014;6;8;0.795;6.360
368;2010;41;63;1.454;91.602
368;2011;39;70;1.237;86.590
368;2012;56;92;1.229;113.068
368;2013;53;109;1.158;126.222
368;2014;62;117;1.204;140.868
369;2010;158;259;1.365;353.535
369;2011;177;264;1.264;333.696
369;2012;177;283;1.338;378.654
369;2013;211;388;1.265;490.820
369;2014;223;369;1.340;494.460
370;2010;18;27;0.786;21.222
370;2011;26;37;0.830;30.710
370;2012;36;49;0.667;32.683
370;2013;34;50;0.705;35.250
370;2014;27;38;0.611;23.218
371;2010;98;116;1.045;121.220
371;2011;85;103;1.321;136.063
371;2012;97;112;1.099;123.088
371;2013;114;133;1.011;134.463
371;2014;98;119;1.095;130.305
373;2010;23;32;0.872;27.904
373;2011;23;26;1.052;27.352
373;2012;32;40;0.931;37.240
373;2013;46;56;0.991;55.496
373;2014;50;64;0.951;60.864
374;2010;10;11;1.146;12.606
374;2011;6;7;0.910;6.370
374;2012;12;14;0.921;12.894
374;2013;19;20;1.004;20.080
374;2014;19;23;0.921;21.183
375;2010;22;27;0.917;24.759
375;2011;20;25;0.935;23.375
375;2012;21;25;1.019;25.475
375;2013;30;41;0.954;39.114
375;2014;34;40;0.858;34.320
523;2010;11;28;1.101;30.828
523;2011;12;34;1.063;36.142
523;2012;13;36;1.144;41.184
523;2013;19;44;1.169;51.436
523;2014;14;46;1.335;61.410
1643;2010;3;3;0.736;2.208
1643;2011;4;5;0.762;3.810
1643;2012;4;4;0.763;3.052
1643;2013;6;7;0.877;6.139
1643;2014;6;6;0.733;4.398
1695;2010;15;68;1.026;69.768
1695;2011;36;97;1.102;106.894
1695;2012;35;110;1.217;133.870
1695;2013;36;113;1.144;129.272
1695;2014;40;138;1.354;186.852
